candidate_id,rank,score,reasoning
CAND_0099806,12,0.12448564,"Strong overall score driven by high title similarity (AI Engineer), 4.6 years of experience, and a product background. Placement is adjusted by a relocation requirement from Bhubaneswar, Odisha, balanced by favorable behavioral signals (active open-to-work status, prompt 30-day notice, moderate 76% response rate)."
CAND_0044222,13,0.11659333,"Strong overall score driven by high title similarity (AI Engineer), ideal 7.7 years of experience, and a product background. Placement is constrained by a relocation requirement from Vizag, Andhra Pradesh and behavioral signals (active open-to-work status, 60-day notice period, moderate 60% response rate)."
CAND_0096104,14,0.116035365,"Strong overall score driven by high title similarity (AI Specialist), ideal 7.0 years of experience, and a product background. Placement is supported by a local Delhi, Delhi location boost and favorable behavioral signals (active open-to-work status, prompt 30-day notice, low response rate (33%))."
CAND_0062247,15,0.11221453,"Strong overall score driven by high title similarity (AI Engineer), ideal 7.3 years of experience, and a product background. Placement is adjusted by a relocation requirement from Kochi, Kerala, balanced by favorable behavioral signals (active open-to-work status, prompt 30-day notice, moderate 78% response rate)."
CAND_0022274,16,0.11207038,"Strong overall score driven by high title similarity (AI Research Engineer), 4.5 years of experience, and a product background. Placement is adjusted by a relocation requirement from Bhubaneswar, Odisha, balanced by favorable behavioral signals (passive search status, prompt 30-day notice, moderate 44% response rate)."
CAND_0071974,17,0.10562419,"Strong overall score driven by high title similarity (Senior AI Engineer), ideal 7.8 years of experience, and a product background. Placement is constrained by a relocation requirement from Vizag, Andhra Pradesh and behavioral signals (active open-to-work status, 45-day notice period, moderate 76% response rate)."
CAND_0030031,18,0.105563894,"Strong overall score driven by high title similarity (AI Engineer), ideal 5.7 years of experience, and a product background. Placement is constrained by a relocation requirement from Trivandrum, Kerala and behavioral signals (passive search status, prompt 30-day notice, high 94% response rate)."
CAND_0004402,19,0.104006335,"Strong overall score driven by high title similarity (AI Research Engineer), ideal 6.0 years of experience, and a product background. Placement is supported by a local Delhi, Delhi location boost and favorable behavioral signals (active open-to-work status, 60-day notice period, high 83% response rate)."
CAND_0024878,20,0.0912779,"Strong overall score driven by high title similarity (AI Specialist), ideal 5.7 years of experience, and a product background. Placement is constrained by a relocation requirement from Vizag, Andhra Pradesh and behavioral signals (active open-to-work status, 60-day notice period, high 84% response rate)."
CAND_0075252,21,0.0888567,"Strong overall score driven by semantic alignment to target profile, 4.6 years of experience, and a product background. Placement is adjusted by a relocation requirement from Bangalore, Karnataka, balanced by favorable behavioral signals (passive search status, 60-day notice period, moderate 54% response rate)."
CAND_0067866,22,0.08130612,"Strong overall score driven by high title similarity (Senior Software Engineer (ML)), ideal 6.4 years of experience, and a product background. Placement is supported by a local Noida, Uttar Pradesh location boost and favorable behavioral signals (active open-to-work status, 45-day notice period, moderate 79% response rate)."
CAND_0033861,23,0.08037044,"Strong overall score driven by high title similarity (Senior NLP Engineer), ideal 8.0 years of experience, and a product background. Placement is constrained by a relocation requirement from Vizag, Andhra Pradesh and behavioral signals (passive search status, prompt 30-day notice, low response rate (16%))."
CAND_0098952,24,0.079859234,"Strong overall score driven by high title similarity (AI Research Engineer), ideal 5.5 years of experience, and a product background. Placement is supported by a local Gurgaon, Haryana location boost and favorable behavioral signals (active open-to-work status, 45-day notice period, moderate 66% response rate)."
CAND_0008239,25,0.078664415,"Strong overall score driven by high title similarity (AI Engineer), 4.0 years of experience, and a product background. Placement is adjusted by a relocation requirement from Jaipur, Rajasthan, balanced by favorable behavioral signals (active open-to-work status, prompt 15-day notice, moderate 73% response rate)."
CAND_0016657,26,0.07463983,"Strong overall score driven by high title similarity (AI Research Engineer), ideal 5.3 years of experience, and a product background. Placement is supported by a local Delhi, Delhi location boost and favorable behavioral signals (passive search status, 60-day notice period, moderate 52% response rate)."
CAND_0073620,27,0.07451633,"Strong overall score driven by high title similarity (AI Research Engineer), 4.4 years of experience, and a product background. Placement is supported by a local Noida, Uttar Pradesh location boost and favorable behavioral signals (active open-to-work status, 90-day notice period, moderate 63% response rate)."
CAND_0092278,28,0.07386525,"Strong overall score driven by high title similarity (Senior NLP Engineer), ideal 6.8 years of experience, and a product background. Placement is supported by a local Pune, Maharashtra location boost and favorable behavioral signals (passive search status, 90-day notice period, low response rate (7%))."
CAND_0024620,29,0.07136859,"Strong overall score driven by high title similarity (AI Engineer), ideal 5.9 years of experience, and a product background. Placement is adjusted by a relocation requirement from New York, balanced by favorable behavioral signals (active open-to-work status, 45-day notice period, moderate 41% response rate)."
CAND_0097896,30,0.06624054,"Strong overall score driven by high title similarity (AI Research Engineer), 4.8 years of experience, and a product background. Placement is adjusted by a relocation requirement from Jaipur, Rajasthan, balanced by favorable behavioral signals (passive search status, 120-day notice period, moderate 65% response rate)."
CAND_0007460,31,0.06498836,"Strong overall score driven by high title similarity (AI Engineer), 4.7 years of experience, and a product background. Placement is supported by a local Pune, Maharashtra location boost and favorable behavioral signals (active open-to-work status, 120-day notice period, moderate 48% response rate)."
CAND_0061339,32,0.06427217,"Strong overall score driven by high title similarity (Search Engineer), 4.2 years of experience, and a product background. Placement is adjusted by a relocation requirement from Chandigarh, Chandigarh, balanced by favorable behavioral signals (active open-to-work status, 90-day notice period, high 90% response rate)."
CAND_0079387,33,0.06426097,"Strong overall score driven by high title similarity (AI Engineer), ideal 6.9 years of experience, and a product background. Placement is constrained by a relocation requirement from Trivandrum, Kerala and behavioral signals (active open-to-work status, prompt 30-day notice, high 81% response rate)."
CAND_0089947,34,0.06342565,"Strong overall score driven by high title similarity (Junior ML Engineer), ideal 5.4 years of experience, and a product background. Placement is supported by a local Noida, Uttar Pradesh location boost and favorable behavioral signals (passive search status, 90-day notice period, moderate 59% response rate)."
CAND_0027450,35,0.062589504,"Strong overall score driven by semantic alignment to target profile, ideal 7.5 years of experience, and a product background. Placement is supported by a local Pune, Maharashtra location boost and favorable behavioral signals (passive search status, 90-day notice period, moderate 74% response rate)."
CAND_0099401,36,0.062328808,"Strong overall score driven by high title similarity (NLP Engineer), ideal 7.7 years of experience, and a product background. Placement is adjusted by a relocation requirement from Ahmedabad, Gujarat, balanced by favorable behavioral signals (passive search status, 90-day notice period, moderate 42% response rate)."
CAND_0009853,37,0.06098025,"Strong overall score driven by semantic alignment to target profile, 3.9 years of experience, and a product background. Placement is supported by a local Delhi, Delhi location boost and favorable behavioral signals (passive search status, 60-day notice period, low response rate (21%))."
CAND_0081846,38,0.060660884,"Strong overall score driven by high title similarity (Lead AI Engineer), ideal 6.7 years of experience, and a product background. Placement is adjusted by a relocation requirement from Jaipur, Rajasthan, balanced by favorable behavioral signals (active open-to-work status, prompt 30-day notice, moderate 73% response rate)."
CAND_0040820,39,0.059601348,"Strong overall score driven by high title similarity (Senior Software Engineer (ML)), ideal 5.5 years of experience, and a product background. Placement is adjusted by a relocation requirement from Ahmedabad, Gujarat, balanced by favorable behavioral signals (passive search status, 90-day notice period, moderate 62% response rate)."
CAND_0064904,40,0.059294928,"Strong overall score driven by high title similarity (AI Engineer), 4.9 years of experience, and a product background. Placement is constrained by a relocation requirement from Hyderabad, Telangana and behavioral signals (active open-to-work status, 90-day notice period, moderate 78% response rate)."
CAND_0065838,41,0.058184702,"Strong overall score driven by semantic alignment to target profile, 1.2 years of experience, and a product background. Placement is supported by a local Pune, Maharashtra location boost and favorable behavioral signals (passive search status, 90-day notice period, moderate 69% response rate)."
CAND_0069905,42,0.05789107,"Strong overall score driven by high title similarity (Applied ML Engineer), ideal 6.6 years of experience, and a product background. Placement is adjusted by a relocation requirement from Bhubaneswar, Odisha, balanced by favorable behavioral signals (active open-to-work status, 90-day notice period, moderate 78% response rate)."
CAND_0098846,43,0.055863556,"Strong overall score driven by high title similarity (AI Engineer), ideal 7.6 years of experience, and a product background. Placement is adjusted by a relocation requirement from Indore, Madhya Pradesh, balanced by favorable behavioral signals (active open-to-work status, 45-day notice period, moderate 62% response rate)."
CAND_0015578,44,0.05295579,"Strong overall score driven by high title similarity (AI Engineer), ideal 5.4 years of experience, and a product background. Placement is supported by a local Delhi, Delhi location boost and favorable behavioral signals (active open-to-work status, 90-day notice period, moderate 65% response rate)."
CAND_0070398,45,0.05220955,"Strong overall score driven by high title similarity (Machine Learning Engineer), ideal 7.2 years of experience, and a product background. Placement is adjusted by a relocation requirement from Kochi, Kerala, balanced by favorable behavioral signals (active open-to-work status, 120-day notice period, moderate 60% response rate)."
CAND_0045250,46,0.051633853,"Strong overall score driven by high title similarity (Applied ML Engineer), ideal 6.6 years of experience, and a product background. Placement is supported by a local Delhi, Delhi location boost and favorable behavioral signals (passive search status, prompt 15-day notice, moderate 74% response rate)."
CAND_0043312,47,0.051491924,"Strong overall score driven by high title similarity (AI Research Engineer), 4.2 years of experience, and a product background. Placement is supported by a local Noida, Uttar Pradesh location boost and favorable behavioral signals (passive search status, prompt 30-day notice, moderate 73% response rate)."
CAND_0037944,48,0.051461063,"Strong overall score driven by high title similarity (Senior Data Scientist), 4.9 years of experience, and a product background. Placement is constrained by a relocation requirement from Jaipur, Rajasthan and behavioral signals (active open-to-work status, prompt 30-day notice, moderate 42% response rate)."
CAND_0074648,49,0.051371913,"Strong overall score driven by high title similarity (AI Research Engineer), 4.1 years of experience, and a product background. Placement is constrained by a relocation requirement from Ahmedabad, Gujarat and behavioral signals (passive search status, 90-day notice period, high 82% response rate)."
CAND_0087630,50,0.050788652,"Strong overall score driven by high title similarity (AI Engineer), ideal 7.2 years of experience, and a product background. Placement is supported by a local Gurgaon, Haryana location boost and favorable behavioral signals (passive search status, prompt 30-day notice, moderate 45% response rate)."
CAND_0022852,51,0.04900918,"Strong overall score driven by high title similarity (AI Research Engineer), ideal 5.4 years of experience, and a product background. Placement is adjusted by a relocation requirement from Bhubaneswar, Odisha, balanced by favorable behavioral signals (passive search status, 120-day notice period, high 86% response rate)."
CAND_0048558,52,0.0484858,"Strong overall score driven by high title similarity (Data Scientist), ideal 6.7 years of experience, and a product background. Placement is supported by a local Noida, Uttar Pradesh location boost and favorable behavioral signals (active open-to-work status, prompt 30-day notice, high 80% response rate)."
CAND_0030386,53,0.048203673,"Strong overall score driven by semantic alignment to target profile, 4.5 years of experience, and a product background. Placement is supported by a local Gurgaon, Haryana location boost and favorable behavioral signals (active open-to-work status, 150-day notice period, moderate 75% response rate)."
CAND_0086292,54,0.046080094,"Strong overall score driven by high title similarity (AI Specialist), ideal 6.2 years of experience, and a product background. Placement is supported by a local Pune, Maharashtra location boost and favorable behavioral signals (passive search status, 90-day notice period, low response rate (39%))."
CAND_0002793,55,0.045200955,"Strong overall score driven by high title similarity (AI Specialist), ideal 5.5 years of experience, and a product background. Placement is constrained by a relocation requirement from Trivandrum, Kerala and behavioral signals (passive search status, prompt 30-day notice, moderate 77% response rate)."
CAND_0079064,56,0.042756997,"Strong overall score driven by high title similarity (Senior Data Scientist), ideal 5.2 years of experience, and a product background. Placement is supported by a local Noida, Uttar Pradesh location boost and favorable behavioral signals (active open-to-work status, 120-day notice period, high 91% response rate)."
CAND_0087364,57,0.041119505,"Strong overall score driven by semantic alignment to target profile, 4.9 years of experience, and a product background. Placement is supported by a local Gurgaon, Haryana location boost and favorable behavioral signals (passive search status, prompt 30-day notice, moderate 48% response rate)."
CAND_0027855,58,0.041100554,"Strong overall score driven by semantic alignment to target profile, ideal 8.5 years of experience, and a product background. Placement is adjusted by a relocation requirement from Vizag, Andhra Pradesh, balanced by favorable behavioral signals (active open-to-work status, 90-day notice period, low response rate (5%))."
CAND_0011162,59,0.039941993,"Strong overall score driven by semantic alignment to target profile, ideal 5.8 years of experience, and a product background. Placement is adjusted by a relocation requirement from Coimbatore, Tamil Nadu, balanced by favorable behavioral signals (active open-to-work status, 90-day notice period, moderate 75% response rate)."
CAND_0020662,60,0.039314196,"Strong overall score driven by semantic alignment to target profile, ideal 6.6 years of experience, and a product background. Placement is supported by a local Noida, Uttar Pradesh location boost and favorable behavioral signals (passive search status, 150-day notice period, low response rate (33%))."
CAND_0098454,61,0.039211784,"Strong overall score driven by high title similarity (AI Specialist), ideal 6.6 years of experience, and a product background. Placement is adjusted by a relocation requirement from Indore, Madhya Pradesh, balanced by favorable behavioral signals (active open-to-work status, 60-day notice period, high 87% response rate)."
CAND_0012632,62,0.03817701,"Strong overall score driven by high title similarity (AI Specialist), ideal 6.0 years of experience, and a product background. Placement is adjusted by a relocation requirement from Austin, balanced by favorable behavioral signals (passive search status, 120-day notice period, moderate 53% response rate)."
CAND_0076805,63,0.037654676,"Strong overall score driven by semantic alignment to target profile, 3.5 years of experience, and a product background. Placement is supported by a local Noida, Uttar Pradesh location boost and favorable behavioral signals (passive search status, prompt 30-day notice, moderate 62% response rate)."
CAND_0061175,64,0.036261614,"Strong overall score driven by high title similarity (AI Research Engineer), ideal 6.7 years of experience, and a product background. Placement is supported by a local Gurgaon, Haryana location boost and favorable behavioral signals (active open-to-work status, 120-day notice period, moderate 48% response rate)."
CAND_0051004,65,0.035644602,"Strong overall score driven by high title similarity (Senior Data Scientist), 4.7 years of experience, and a product background. Placement is supported by a local Delhi, Delhi location boost and favorable behavioral signals (active open-to-work status, prompt 15-day notice, moderate 41% response rate)."
CAND_0060054,66,0.035109863,"Strong overall score driven by high title similarity (AI Engineer), ideal 6.4 years of experience, and a product background. Placement is adjusted by a relocation requirement from Jaipur, Rajasthan, balanced by favorable behavioral signals (passive search status, prompt 15-day notice, high 86% response rate)."
CAND_0025046,67,0.034155864,"Strong overall score driven by high title similarity (AI Specialist), ideal 6.7 years of experience, and a product background. Placement is supported by a local Gurgaon, Haryana location boost and favorable behavioral signals (passive search status, 90-day notice period, moderate 42% response rate)."
CAND_0092767,68,0.033223912,"Strong overall score driven by semantic alignment to target profile, ideal 9.0 years of experience, and a product background. Placement is adjusted by a relocation requirement from Indore, Madhya Pradesh, balanced by favorable behavioral signals (active open-to-work status, prompt 30-day notice, moderate 61% response rate)."
CAND_0041611,69,0.03312992,"Strong overall score driven by high title similarity (Staff Machine Learning Engineer), ideal 6.4 years of experience, and a product background. Placement is adjusted by a relocation requirement from Austin, balanced by favorable behavioral signals (passive search status, prompt 30-day notice, low response rate (7%))."
CAND_0061257,70,0.030852681,"Strong overall score driven by high title similarity (Staff Machine Learning Engineer), ideal 8.0 years of experience, and a product background. Placement is supported by a local Noida, Uttar Pradesh location boost and favorable behavioral signals (active open-to-work status, prompt 30-day notice, high 87% response rate)."
CAND_0082159,71,0.030327983,"Strong overall score driven by semantic alignment to target profile, ideal 5.1 years of experience, and a product background. Placement is adjusted by a relocation requirement from Kochi, Kerala, balanced by favorable behavioral signals (passive search status, 60-day notice period, moderate 56% response rate)."
CAND_0042029,72,0.029859861,"Strong overall score driven by high title similarity (Senior Data Scientist), ideal 6.5 years of experience, and a product background. Placement is supported by a local Delhi, Delhi location boost and favorable behavioral signals (passive search status, 45-day notice period, moderate 67% response rate)."
CAND_0073883,73,0.029719831,"Strong overall score driven by high title similarity (AI Specialist), ideal 5.3 years of experience, and a product background. Placement is adjusted by a relocation requirement from Chandigarh, Chandigarh, balanced by favorable behavioral signals (active open-to-work status, 90-day notice period, high 92% response rate)."
CAND_0003100,74,0.029701304,"Strong overall score driven by high title similarity (AI Specialist), ideal 5.5 years of experience, and a product background. Placement is supported by a local Delhi, Delhi location boost and favorable behavioral signals (passive search status, 90-day notice period, moderate 66% response rate)."
CAND_0041610,75,0.029466245,"Strong overall score driven by semantic alignment to target profile, ideal 6.7 years of experience, and a product background. Placement is adjusted by a relocation requirement from Indore, Madhya Pradesh, balanced by favorable behavioral signals (active open-to-work status, prompt 30-day notice, moderate 52% response rate)."
CAND_0031593,76,0.029341301,"Strong overall score driven by high title similarity (Search Engineer), ideal 7.8 years of experience, and a product background. Placement is adjusted by a relocation requirement from Kolkata, West Bengal, balanced by favorable behavioral signals (active open-to-work status, 90-day notice period, moderate 57% response rate)."
CAND_0006418,77,0.029141048,"Strong overall score driven by high title similarity (Machine Learning Engineer), ideal 5.7 years of experience, and a product background. Placement is supported by a local Gurgaon, Haryana location boost and favorable behavioral signals (active open-to-work status, 60-day notice period, high 92% response rate)."
CAND_0056954,78,0.028658971,"Strong overall score driven by semantic alignment to target profile, 12.9 years of experience, and a product background. Placement is adjusted by a relocation requirement from Ahmedabad, Gujarat, balanced by favorable behavioral signals (passive search status, 90-day notice period, moderate 69% response rate)."
CAND_0010257,79,0.02863565,"Strong overall score driven by high title similarity (Senior Data Scientist), ideal 6.5 years of experience, and a product background. Placement is supported by a local Noida, Uttar Pradesh location boost and favorable behavioral signals (active open-to-work status, 120-day notice period, moderate 72% response rate)."
CAND_0074325,80,0.02857696,"Strong overall score driven by high title similarity (AI Research Engineer), 3.9 years of experience, and a product background. Placement is supported by a local Gurgaon, Haryana location boost and favorable behavioral signals (passive search status, 45-day notice period, moderate 47% response rate)."
CAND_0092498,81,0.028365918,"Strong overall score driven by semantic alignment to target profile, ideal 5.7 years of experience, and a product background. Placement is supported by a local Delhi, Delhi location boost and favorable behavioral signals (passive search status, 60-day notice period, moderate 46% response rate)."
CAND_0037177,82,0.027928878,"Strong overall score driven by semantic alignment to target profile, ideal 5.2 years of experience, and a product background. Placement is adjusted by a relocation requirement from Kolkata, West Bengal, balanced by favorable behavioral signals (passive search status, 60-day notice period, moderate 62% response rate)."
CAND_0026578,83,0.02756922,"Strong overall score driven by semantic alignment to target profile, ideal 7.0 years of experience, and a product background. Placement is supported by a local Gurgaon, Haryana location boost and favorable behavioral signals (passive search status, 60-day notice period, moderate 59% response rate)."
CAND_0023076,84,0.026948262,"Strong overall score driven by high title similarity (AI Research Engineer), 3.7 years of experience, and a product background. Placement is constrained by a relocation requirement from Trivandrum, Kerala and behavioral signals (active open-to-work status, 120-day notice period, moderate 61% response rate)."
CAND_0094759,85,0.026419526,"Strong overall score driven by high title similarity (Lead AI Engineer), ideal 8.6 years of experience, and a product background. Placement is adjusted by a relocation requirement from Mumbai, Maharashtra, balanced by favorable behavioral signals (passive search status, prompt 30-day notice, low response rate (11%))."
CAND_0092568,86,0.026394926,"Strong overall score driven by high title similarity (AI Specialist), ideal 5.7 years of experience, and a product background. Placement is supported by a local Noida, Uttar Pradesh location boost and favorable behavioral signals (active open-to-work status, 60-day notice period, low response rate (39%))."
CAND_0018918,87,0.026145004,"Strong overall score driven by semantic alignment to target profile, ideal 5.1 years of experience, and a product background. Placement is supported by a local Delhi, Delhi location boost and favorable behavioral signals (passive search status, 90-day notice period, low response rate (11%))."
CAND_0088602,88,0.02568882,"Strong overall score driven by high title similarity (AI Specialist), 4.8 years of experience, and a product background. Placement is constrained by a relocation requirement from Jaipur, Rajasthan and behavioral signals (active open-to-work status, 90-day notice period, moderate 78% response rate)."
CAND_0006557,89,0.024398023,"Strong overall score driven by high title similarity (NLP Engineer), ideal 7.9 years of experience, and a product background. Placement is adjusted by a relocation requirement from Jaipur, Rajasthan, balanced by favorable behavioral signals (active open-to-work status, 120-day notice period, moderate 63% response rate)."
CAND_0098723,90,0.024316322,"Strong overall score driven by semantic alignment to target profile, ideal 5.5 years of experience, and a product background. Placement is supported by a local Delhi, Delhi location boost and favorable behavioral signals (passive search status, 120-day notice period, moderate 51% response rate)."
CAND_0097563,91,0.02406394,"Strong overall score driven by semantic alignment to target profile, ideal 7.1 years of experience, and a product background. Placement is supported by a local Gurgaon, Haryana location boost and favorable behavioral signals (passive search status, 150-day notice period, moderate 59% response rate)."
CAND_0024947,92,0.023884995,"Strong overall score driven by high title similarity (AI Research Engineer), ideal 6.1 years of experience, and a product background. Placement is constrained by a relocation requirement from Trivandrum, Kerala and behavioral signals (passive search status, prompt 30-day notice, moderate 79% response rate)."
CAND_0041669,93,0.023699826,"Strong overall score driven by semantic alignment to target profile, ideal 8.0 years of experience, and a product background. Placement is supported by a local Noida, Uttar Pradesh location boost and favorable behavioral signals (active open-to-work status, 60-day notice period, moderate 77% response rate)."
CAND_0036863,94,0.023457756,"Strong overall score driven by high title similarity (Senior Data Scientist), 4.3 years of experience, and a product background. Placement is adjusted by a relocation requirement from Chennai, Tamil Nadu, balanced by favorable behavioral signals (active open-to-work status, 60-day notice period, moderate 46% response rate)."
CAND_0081203,95,0.023258343,"Strong overall score driven by semantic alignment to target profile, ideal 7.7 years of experience, and a product background. Placement is adjusted by a relocation requirement from Vizag, Andhra Pradesh, balanced by favorable behavioral signals (active open-to-work status, prompt 30-day notice, low response rate (31%))."
CAND_0045862,96,0.023037389,"Strong overall score driven by high title similarity (AI Specialist), ideal 6.7 years of experience, and a product background. Placement is constrained by a relocation requirement from Jaipur, Rajasthan and behavioral signals (active open-to-work status, 90-day notice period, moderate 54% response rate)."
CAND_0080766,97,0.022299023,"Strong overall score driven by high title similarity (Staff Machine Learning Engineer), ideal 8.8 years of experience, and a product background. Placement is adjusted by a relocation requirement from Coimbatore, Tamil Nadu, balanced by favorable behavioral signals (passive search status, prompt 0-day notice, moderate 66% response rate)."
CAND_0014868,98,0.021676539,"Strong overall score driven by semantic alignment to target profile, 10.9 years of experience, and a product background. Placement is adjusted by a relocation requirement from Indore, Madhya Pradesh, balanced by favorable behavioral signals (passive search status, 90-day notice period, low response rate (28%))."
CAND_0012051,99,0.02148257,"Strong overall score driven by semantic alignment to target profile, ideal 8.9 years of experience, and a product background. Placement is adjusted by a relocation requirement from Hyderabad, Telangana, balanced by favorable behavioral signals (passive search status, 90-day notice period, moderate 61% response rate)."
CAND_0037980,100,0.021335965,"Strong overall score driven by high title similarity (Senior Applied Scientist), ideal 9.0 years of experience, and a product background. Placement is adjusted by a relocation requirement from Kolkata, West Bengal, balanced by favorable behavioral signals (active open-to-work status, prompt 0-day notice, moderate 63% response rate)."
